	ID	affect_dimension	intensity_scores	intensity_descriptions	tweets
0	2017-En-30153	valence	0	 neutral or mixed emotional state can be inferred	user_mention yeah! :) playing well
1	2017-En-40929	valence	0	 neutral or mixed emotional state can be inferred	xxupp_str At least xxupp_all I don't have a guy trying to discourage me anymore in what xxupp_all I want to do he will never become anything worth contributing to society
2	2017-En-22012	valence	0	 neutral or mixed emotional state can be inferred	xxupp_all UPLIFT: xxupp_str If you're still discouraged it means you're listening to the wrong voices &amp; looking to the wrong source. xxupp_str Look to the xxupp_all LORD!
3	2017-En-30837	valence	0	 neutral or mixed emotional state can be inferred	...at your age, the heyday in the blood is tame...' user_mention  hashtag  shakespearean insults  hashtag  hamlet  hashtag  elizabethan  hashtag  william shakespeare
4	2017-En-30838	valence	-2	 moderately negative emotional state can be inferred	i was so embarrassed when she saw us i was like knvfkkjg she thinks we're stalkers n then she starts waving all cheerfully inviting us in 😩
5	2017-En-41019	valence	-3	 very negative emotional state can be inferred	xxupp_str Really planned on making videos this week. xxupp_str Then. xxupp_all A tv died, phone broke, truck died,  hashtag  depression took over. xxupp_str I'm wondering what xxupp_all I did  number  karma
6	2017-En-20210	valence	-3	 very negative emotional state can be inferred	xxupp_all I hate having ideas but being too afraid to share them 😔
7	2017-En-30568	valence	1	 slightly positive emotional state can be inferred	xxupp_str At the regular cheerfulness of any emotion, her own supper, and to give the ladies were soon as they have been entirely at
8	2017-En-41186	valence	1	 slightly positive emotional state can be inferred	xxupp_all A pessimist sees the difficulty in every opportunity, an optimist sees the opportunity in every difficulty' -Sir xxupp_str Winston xxupp_str Churchill-
9	2017-En-41215	valence	-2	 moderately negative emotional state can be inferred	xxupp_str Just because xxupp_str I'm hurting \nDoesn't mean xxupp_str I'm hurt \nDoesn't mean xxupp_all I didn't get \nWhat xxupp_all I deserved \nNo better and no worse  hashtag  lost user_mention
10	2017-En-10358	valence	-2	 moderately negative emotional state can be inferred	user_mention user_mention xxupp_all I cancelled by xxupp_all CBS all access live feeds before xxupp_all JC even said xxupp_str Vic won xxupp_all AFP. xxupp_str Paul.should have won xxupp_all IMO  hashtag  bitter
